data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
9.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
10.00,187.56,12714.43,1.17,5.48,0.28,90.00,HBEFA3/PC_G_EU4,0.00,5.47,0,e0_0,73.53,107.07,route01,18.97,Car01,0.00,107.07,-1.60,,,,,,,,,,,,,,,
10.00,107.50,8561.38,0.70,3.57,0.17,90.00,HBEFA3/PC_G_EU4,0.00,3.68,1,e0_0,70.23,76.63,route01,16.93,Car,0.00,76.63,-1.60,,,,,,,,,,,,,,,
10.00,169.28,10109.98,1.02,4.43,0.22,90.00,HBEFA3/PC_G_EU4,0.00,4.35,2,e0_0,72.43,37.59,route01,11.70,Car,0.00,37.59,-1.60,,,,,,,,,,,,,,,
10.00,147.20,5686.50,0.81,2.51,0.12,90.00,HBEFA3/PC_G_EU4,0.00,2.44,3,e0_0,69.46,12.90,route01,5.20,Car,0.00,12.90,-1.60,,,,,,,,,,,,,,,
10.00,164.78,2624.72,0.81,1.20,0.07,90.00,HBEFA3/PC_G_EU4,0.00,1.13,4,e0_0,55.94,5.10,route01,0.00,Car,0.00,5.10,-1.60,,,,,,,,,,,,,,,
10.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
10.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
10.00,,,,,,,,,,,,,,,,,,,,e0,152.40,776.32,39697.01,4.49,17.18,0.86,0.00,17.06,e0_0,33.53,10.56,77.77,0.02,5
10.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
10.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
11.00,208.29,13816.98,1.29,5.95,0.31,90.00,HBEFA3/PC_G_EU4,0.00,5.94,0,e0_0,74.35,127.96,route01,20.89,Car01,0.00,127.96,-1.60,,,,,,,,,,,,,,,
11.00,175.57,12117.02,1.10,5.20,0.27,90.00,HBEFA3/PC_G_EU4,0.00,5.21,1,e0_0,73.08,95.43,route01,18.80,Car,0.00,95.43,-1.60,,,,,,,,,,,,,,,
11.00,191.83,12065.36,1.17,5.28,0.27,90.00,HBEFA3/PC_G_EU4,0.00,5.19,2,e0_0,73.69,51.89,route01,14.30,Car,0.00,51.89,-1.60,,,,,,,,,,,,,,,
11.00,150.16,7376.59,0.86,3.24,0.16,90.00,HBEFA3/PC_G_EU4,0.00,3.17,3,e0_0,70.61,20.70,route01,7.80,Car,0.00,20.70,-1.60,,,,,,,,,,,,,,,
11.00,148.38,2909.27,0.74,1.30,0.07,90.00,HBEFA3/PC_G_EU4,0.00,1.25,4,e0_0,62.15,6.40,route01,1.30,Car,0.00,6.40,-1.60,,,,,,,,,,,,,,,
11.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
11.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
11.00,,,,,,,,,,,,,,,,,,,,e0,127.54,874.23,48285.22,5.16,20.97,1.06,0.00,20.76,e0_0,33.53,12.62,79.25,0.02,5
11.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
11.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
12.00,245.86,15582.73,1.50,6.74,0.36,90.00,HBEFA3/PC_G_EU4,0.00,6.70,0,e0_0,75.55,150.84,route01,22.87,Car01,0.00,150.84,-1.60,,,,,,,,,,,,,,,
