data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
10.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
10.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
10.00,,,,,,,,,,,,,,,,,,,,gneE0,788.58,594.85,31054.62,3.46,13.44,0.66,0.00,9904.94,gneE0_0,33.53,10.20,76.39,0.00,4
10.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
10.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
11.00,127.30,9810.17,0.82,4.10,0.21,90.00,HBEFA3/PC_G_EU4,0.00,3128.95,0,gneE0_0,71.53,126.18,route01,19.24,Car01,0.00,126.18,0.00,,,,,,,,,,,,,,,
11.00,199.97,12799.37,1.22,5.60,0.28,90.00,HBEFA3/PC_G_EU4,0.00,4082.35,1,gneE0_0,74.02,71.12,route01,15.65,Car01,0.00,71.12,0.00,,,,,,,,,,,,,,,
11.00,108.41,6305.59,0.64,2.68,0.12,90.00,HBEFA3/PC_G_EU4,0.00,2011.19,2,gneE0_0,67.57,34.66,route01,9.70,Car01,0.00,34.66,0.00,,,,,,,,,,,,,,,
11.00,147.84,5157.87,0.80,2.28,0.11,90.00,HBEFA3/PC_G_EU4,0.00,1645.14,3,gneE0_0,69.09,11.22,route01,4.36,Car01,0.00,11.22,0.00,,,,,,,,,,,,,,,
11.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
